"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch","LikelihoodDelta_Percent","Epidemic_Length"
71,0.3895,-858.503709008337,-858.198552635551,0.305156372786087,3217,0.083456442,0.031643137,0.00179289,2559,145,0.257731958762887,0.197624052098993,0.120442010466585,0.308152759259541,0.0268918723387681,0.0176944569844996,0.035095343937432,0.00145629941218209,0.00102598916878131,0.00197194565237304,0,0.31578947368421,0.105263157894737,0,0.31578947368421,0.157894736842105,2469410273958,2,0.000355577822694927,113
73,0.395999999999999,-187.968308391596,-188.591109441648,0.622801050051692,1940,0.140968123,0.017928417,0.00065095,919,33,0.304347826086957,0.161555785100433,0.103038058819955,0.223561321134059,0.0227978393230948,0.0111301648766337,0.0348541385920825,0.000772924157297602,0.000464052836101698,0.00130620389892547,0.947368421052631,0.736842105263158,0.842105263157894,0.578947368421053,0.473684210526316,0.578947368421053,433176408000,2,0.00330238817670455,106
74,0.3275,-1131.254692881,-1130.41572536521,0.838967515788909,4010,0.06337694,0.025800245,0.001675316,2872,187,0.166666666666667,0.165054335726202,0.110188350444116,0.220843452371209,0.0210901633898512,0.0141139775011595,0.0269888469808201,0.00133179110449837,0.000859037462050168,0.00176510752116937,0,0.368421052631579,0.263157894736842,0,0.210526315789474,0.157894736842105,979424620500,2,0.000742176083509327,113
75,0.517500000000001,-174.929716215553,-176.32035020452,1.3906339889667,2545,0.135344743,0.006834436,0.000448082,457,30,0.887755102040816,0.156411337245035,0.108684665065133,0.232048525701831,0.0106938304782038,0.00374987775281452,0.0190419496705201,0.000696911003000847,0.000182012482961236,0.00124693569476739,0.789473684210526,0.736842105263158,0.736842105263158,0.578947368421053,0.368421052631579,0.473684210526316,429068756583,2,0.00788697383684672,106
76,0.555,-247.638416389103,-247.46311826409,0.175298125012205,1179,0.153047694,0.025218688,0.001063796,1000,42,0.39,0.15810405159089,0.0931851022257622,0.23431247161649,0.0237007447745197,0.014463245305697,0.0324006058349902,0.000995082361125494,0.000513213413398178,0.00139407609176935,0.736842105263158,0.526315789473684,0.684210526315789,0.947368421052631,0.789473684210526,0.789473684210526,430393443125,2,0.000708380813439553,113
77,0.595,-50.6413993140137,-51.1256487467357,0.484249432722088,965,0.188980293,0.015961249,0.00013584,500,4,0.447916666666667,0.206939976611875,0.143887983996148,0.312995390333036,0.0181344419359823,0.00806952635860262,0.028153523998866,0.00078925558293758,0.000446880368392439,0.00129154976457313,0.842105263157894,1,0,0.684210526315789,0.684210526315789,0,365920925583,2,0.00947175135362964,113
78,0.407500000000001,-414.803216897797,-416.245026340912,1.44180944311563,1392,0.172734926,0.032846837,0.001906226,1239,72,0.385416666666667,0.194279312630341,0.129946249665072,0.279274415174269,0.0243750634627872,0.0153920571595315,0.032891877531409,0.00118679131249425,0.000589378144077754,0.00166654303209867,0.631578947368421,0.0526315789473684,0,0.578947368421053,0.0526315789473684,0,545779643167,2,0.00346384785853216,113
79,0.3825,-924.429151295519,-924.097129988962,0.332021306556044,3540,0.079113579,0.019756119,0.001578395,1922,154,0.191489361702128,0.173313148798359,0.120932240783589,0.236207275757289,0.0181686701394755,0.0114233427957043,0.0232002642931481,0.00138770893879204,0.00101551285539018,0.00183977959875808,0,0.421052631578947,0.210526315789474,0,0.578947368421053,0.368421052631579,817652174417,2,0.000359292649853819,113
80,0.408500000000001,-246.739434769139,-247.165739422509,0.42630465337038,1529,0.152546292,0.027241182,0.000937331,1156,40,0.377551020408163,0.176461764749522,0.1265910730192,0.2396488002403,0.0299105340795492,0.0181066476162437,0.0407011306264013,0.00102062429550321,0.000712210874577551,0.00132048421973912,0.736842105263158,0.631578947368421,0.473684210526316,0.473684210526316,0.631578947368421,0.631578947368421,430654570209,2,0.00172477243151264,106
81,0.315,-308.561859334323,-308.305455296618,0.256404037705238,2814,0.110234204,0.011824376,0.000696353,914,54,0.241758241758242,0.167645820013114,0.117290053011502,0.252062184131088,0.00962655930507284,0.0049785421876249,0.0173763415589343,0.000587717182030653,0.00023237044853078,0.00106204922756566,0,0.368421052631579,0.368421052631579,0.105263157894737,0.578947368421053,0.736842105263158,671782676584,2,0.000831655857203544,106
82,0.405999999999999,-211.320537919112,-210.692652272167,0.627885646945316,1582,0.163403155,0.015505299,0.000757017,749,37,0.458333333333333,0.17610742127886,0.118010323762074,0.252622879171346,0.0169335096729053,0.0105083562849355,0.026441119695761,0.000933341291520042,0.000529966854456005,0.00141386629404864,0.578947368421053,0.473684210526316,0.842105263157894,0.789473684210526,0.789473684210526,0.473684210526316,453583950542,2,0.00298010224929074,113
83,0.5605,-168.915943568806,-168.8938838496,0.0220597192069647,341,0.236845006,0.04053185,0.001806394,599,27,0.577319587628866,0.229841434055561,0.172673526169215,0.289497627153266,0.0243096362533298,0.0102540879963907,0.038940341496868,0.00107707953557806,0.000412511930951088,0.00179057750412854,0.789473684210526,0,0,0.842105263157894,0,0.0526315789473684,388595344458,2,0.000130612895530361,113
84,0.471000000000003,-389.009748579957,-385.166480425488,3.84326815446821,1525,0.15724649,0.0202913,0.001489825,894,66,0.534653465346535,0.152360643787124,0.0899461285515429,0.26028535806289,0.0147678246474814,0.00474759238617998,0.0223880250143419,0.0010987279450635,0.000439082977171465,0.00159698754318731,0.368421052631579,0.31578947368421,0.210526315789474,0.947368421052631,0.31578947368421,0.157894736842105,570361312959,2,0.00997819994674146,113
85,0.6115,-177.372692175408,-178.251643546945,0.878951371537084,799,0.201144562,0.015718908,0.001183033,403,30,0.422680412371134,0.172805479254126,0.114041021160685,0.235186911413108,0.0166021199965973,0.00870329749560942,0.0263693855003161,0.00105272219507713,0.000414368009655415,0.00160798668434991,0.31578947368421,0.684210526315789,0.736842105263158,0.421052631578947,0.894736842105263,0.684210526315789,372962185834,2,0.00493095802118424,113
86,0.4495,-234.124839194187,-234.370633556636,0.245794362449288,2065,0.115114925,0.018144294,0.000644498,1135,40,0.602040816326531,0.171545432487262,0.0935419543091063,0.273097814679436,0.0286036272490676,0.0169611034729204,0.0389828446097178,0.00101567794427414,0.00056611012046457,0.00147479278594067,0.105263157894737,0.0526315789473684,0.105263157894737,0.210526315789474,0.0526315789473684,0.105263157894737,422984725417,2,0.00104874215134931,106
87,0.404999999999999,-366.968541728049,-367.364016748461,0.39547502041188,6177,0.035206065,0.007590798,0.000280136,1686,62,0.666666666666667,0.151883170508803,0.0857391520254981,0.203412851573867,0.0130654390782308,0.0067337948480513,0.0198415848218079,0.000513080445030912,0.000278918429619824,0.000781458101170181,0,0.105263157894737,0.0526315789473684,0,0.105263157894737,0.105263157894737,663209139375,2,0.00107652084140474,113
88,0.512,-305.091515944648,-304.350299407109,0.741216537539117,1480,0.143116937,0.027620148,0.001130579,1286,53,0.343434343434343,0.168573086319439,0.128817298707827,0.222425924125501,0.0223366982922026,0.0137712218820302,0.0336196680131255,0.000922752274337556,0.000508703697434423,0.00126836850291525,0.526315789473684,0.210526315789474,0.368421052631579,0.31578947368421,0.31578947368421,0.31578947368421,480440733167,2,0.00243540597457287,113
89,0.461499999999999,-396.894315594797,-396.709604681842,0.184710912955495,2650,0.125865497,0.015313466,0.001039478,1052,71,0.287234042553192,0.174045183410457,0.128137763935214,0.242183477611244,0.0202754389787912,0.0142465815961265,0.0256949966355195,0.00130101370267891,0.000950839307754033,0.00170241121267275,0,0.0526315789473684,0.421052631578947,0.105263157894737,0.0526315789473684,0.210526315789474,506639185417,2,0.000465607363107914,106
90,0.390499999999999,-628.795066692795,-630.688999940409,1.89393324761409,6805,0.027712981,0.006215665,0.000406494,1653,108,0.636363636363636,0.109681609456488,0.0660700168993634,0.17500004794905,0.00917713587917016,0.00467413678881402,0.0134079037440262,0.00059048528162326,0.000306413932192399,0.000909078068735712,0,0.526315789473684,0.842105263157894,0,0.368421052631579,0.31578947368421,756825624792,2,0.00300295906190378,113
91,0.474500000000001,-396.201557180706,-395.68793893072,0.513618249985939,1961,0.12596108,0.02981594,0.001260124,1606,68,0.52,0.162495264162503,0.108766599935772,0.220608046640901,0.027038814949041,0.0199335107628383,0.0350376346877165,0.00114456737737653,0.000803556992237226,0.00168691667935754,0.31578947368421,0.368421052631579,0.473684210526316,0.210526315789474,0.473684210526316,0.631578947368421,503035414083,2,0.00129803868011218,106
92,0.432,-476.694896368276,-477.18936044055,0.494464072273729,858,0.189544386,0.037956121,0.002882711,1065,81,0.193548387096774,0.229699656286846,0.146244803654998,0.300159474981812,0.0260585534937737,0.0184167204636391,0.0334078419917165,0.00160383570555322,0.00118253531618244,0.00238148833666266,0.368421052631579,0,0,0.31578947368421,0,0,529045637500,2,0.00103620095766014,113
93,0.4835,-491.760233929697,-491.253714321934,0.506519607762641,1553,0.148902837,0.02474688,0.001907587,1109,86,0.333333333333333,0.163758437255807,0.107553209745948,0.2615499020681,0.0198044617028832,0.013260742156225,0.028526500097002,0.0013658206928734,0.000892867661728056,0.00186596763124969,0.526315789473684,0.105263157894737,0,0.736842105263158,0.210526315789474,0,542354115125,2,0.00103107537509773,106
94,0.318999999999999,-143.603640308326,-142.805243752795,0.798396555531383,3730,0.073474744,0.019008113,0.00018319,2026,20,0.79,0.198736277053272,0.120454543026783,0.281093456645127,0.0179769793201909,0.00924059941115931,0.0294798843534322,0.000219428349881025,8.69962541331583e-05,0.000416215886632064,0,0.368421052631579,0.684210526315789,0,0.842105263157894,0.736842105263158,641214038333,2,0.00559080699384862,106
95,0.607,-105.982088414956,-106.221860177198,0.239771762241205,1591,0.148262294,0.014959764,0.000325067,689,15,0.54,0.169559062630966,0.114995236333159,0.236697708303873,0.0251545017391891,0.0145448402987589,0.0347853902438116,0.000585798177122149,0.000330939979144892,0.000864704082936556,0.894736842105263,0.0526315789473684,0,0.526315789473684,0.0526315789473684,0.0526315789473684,350834214542,2,0.00225727323774241,113
97,0.335499999999999,-477.148272138267,-476.680745770936,0.467526367330663,2167,0.128615763,0.033269219,0.001516499,1814,83,0.28421052631579,0.160662906170311,0.120178124602511,0.225227723441708,0.0266551495411666,0.0198096477995335,0.0333406013905388,0.00117931302034503,0.000766895262490428,0.00156218293715559,0.263157894736842,0.0526315789473684,0.0526315789473684,0.31578947368421,0.0526315789473684,0.0526315789473684,596403179125,2,0.000980795577498168,106
98,0.5645,-167.49441743686,-167.506326940637,0.0119095037770194,1356,0.176515298,0.009793753,0.000659283,423,29,0.357894736842105,0.158584675998616,0.0948544749389473,0.239407975308441,0.0144305029598743,0.00979749806331018,0.0220343191372032,0.000985771901501261,0.000547287349393718,0.00143166434757509,0.368421052631579,0.0526315789473684,0.105263157894737,0.684210526315789,0.157894736842105,0.157894736842105,361140691708,2,7.1098829486244e-05,106
