"Rep","Gamma_ESS","Psi_ESS","Phi_ESS","InitialBeta_ESS","RunTime"
396,1.14059347794633,1.61805121290061,1.6445766426203,1.08754261850697,37.6996719965667
397,1.34857056552971,1.00278324103491,1.07194070593387,1.27941310063075,28.9195100329667
398,1.16685761420649,1.1266211447511,1.64969524767125,1.40827643093887,24.8530751712333
399,0.969371791285604,1.11624630511676,1.32187062448037,0.939996888519374,34.0426658756333
400,0.748391773931092,0.81442634221913,1.166610706422,0.594311114592338,45.4307505565
401,3.2935995640309,3.2935995640309,4.31575115286807,3.40717196279058,8.80495622986667
402,5.23107708409058,4.8935882399557,4.55609939582083,5.06233266202314,5.92612181041667
403,6.57735241004418,7.98678506933936,9.39621772863454,7.28206873969177,4.25703204791667
404,6.35559761655595,4.53971258325425,5.05853687848331,3.50206399279613,7.70973918681667
405,3.12881320180494,3.35229985907672,4.02275983089206,3.24055653044083,8.9490801125
406,5.80622456512969,6.11181533171546,6.26461071500835,4.27827073220082,6.54470035971667
407,3.756442583442,5.008590111256,5.008590111256,3.47818757726111,7.18765145486667
408,4.4242339560412,4.08390826711496,4.4242339560412,4.4242339560412,5.87672357708333
409,2.24046396197842,3.01600917958633,3.18835256127698,2.15429227113309,11.6047392152833
410,2.82706566339692,2.65572835046377,2.82706566339692,2.99840297633007,11.6728806222167
411,3.81067146643432,3.51754289209322,4.69005718945762,4.10380004077542,6.82294452015
412,3.58848866286735,2.92745127760231,3.49405475068663,2.54971562887944,10.58941620555
413,2.24352422268638,2.62656494363283,3.11904587056399,1.64160308977052,18.27481940485
414,4.30336671690961,4.01647560244897,4.30336671690961,4.30336671690961,6.97128596596667
415,7.30967898185706,5.48225923639279,5.48225923639279,6.09139915154755,4.92497688193333
416,32.4310196571866,32.4310196571866,32.4310196571866,35.2511083230289,0.709197559716667
417,2.28053952820901,2.03619600732947,2.11764384762265,1.95474816703629,12.2777963958333
418,5.5342124127469,5.04589955279865,6.51083813264342,5.04589955279865,6.14360228055
419,4.03962440905685,5.08210812752314,7.03676509964742,3.648693014632,7.6739807618
420,5.91986027652905,5.91986027652905,6.69201596477197,8.23632734125781,3.88522683401667
421,5.01090970313987,6.50063961488416,5.41719967907013,4.60461972720961,7.38388879305
422,6.17375208361029,5.83076585674305,7.20271076421201,7.03121765077839,5.83113793888333
423,2.58040067699688,3.01046745649636,3.01046745649636,2.79543406674662,9.30088114375
424,6.44552248431766,5.15641798745413,5.15641798745413,6.62968026958388,5.43012612013333
425,6.32749441256928,5.5162771801886,7.30095509142609,4.70505994780793,6.16357715346667
426,1.48912476209177,2.10959341296334,1.67526535735324,1.86140595261471,16.1168497166667
427,3.67478980624118,3.77686730085899,3.16440233315213,4.08309978471242,9.79647868263333
428,7.61231064594163,5.82117872924948,7.16452766676859,6.49285319800904,4.46644935833333
429,1.96543635362679,2.03823029265001,2.47499392678929,1.67426059753393,13.7374074465333
430,3.80136857354061,5.40963989311548,4.38619450793147,4.82481395872462,6.83964195973333
431,3.42420397555538,3.68760428136733,3.42420397555538,3.55590412846136,7.59300561111667
432,5.98647426175398,5.2957272315516,6.21672327182144,5.52597624161906,4.34312399305
433,5.36068147908267,4.25157496616902,4.43642605165463,4.25157496616902,5.40975995555
434,5.1454639159776,5.50032349638985,5.50032349638985,4.96803412577148,5.6360321389
435,5.43021240007577,4.90470797426198,5.60538054201369,5.07987611619991,5.70880063541667
436,4.65299226402231,7.19098804439811,5.92199015421021,4.51199249844587,7.09221037291667
437,30.6222884488374,30.6222884488374,30.6222884488374,30.6222884488374,0.751086909733333
438,6.52634898815784,4.35089932543856,4.85292617068147,5.0202684524291,5.97577605346667
439,6.95629301879238,5.79691084899365,6.95629301879238,8.50213591185735,5.17517015208333
440,5.82054525425101,5.63865321505567,7.27568156781377,6.00243729344636,5.49776672153333
441,7.89996578895416,6.91247006533489,7.89996578895416,7.89996578895416,4.05065045278333
442,4.4488596175132,7.22939687845895,5.42204765884421,4.4488596175132,7.19285451805
443,5.67046093143348,5.10341483829013,4.08273187063211,4.42295952651812,8.81762534026667
444,7.64569845533335,8.91998153122224,15.0365402954889,9.4296947615778,3.92377494028333
445,5.39586259870086,6.47503511844103,4.79632230995632,4.31669007896069,8.33972310763333
446,5.43630632892698,5.43630632892698,6.62549833837976,5.09653718336904,5.88634967638333
447,5.49657658639356,4.96032521211126,6.16689080424643,4.15594815068781,7.45918834306667
448,7.33115674003208,6.89991222591255,6.89991222591255,5.82180094061371,4.63774015556667
449,4.57611149994482,4.73390844821878,5.0495023447667,4.73390844821878,6.33725817221667
450,7.59072090946159,5.83901608420123,7.97998864840834,6.42291769262135,5.13785192015
451,7.60667254356526,8.20719932332041,9.208077289579,10.2089552558376,4.99561401945
452,9.02028933498257,7.8563810336945,9.6022434856266,11.3481059375587,3.43669685625
453,7.12722941214372,6.69527611443804,11.2307857403477,6.26332281673236,4.63013017986667
454,8.52991072342806,6.73414004481162,9.65226739756333,7.18308271446573,4.45491180765
455,6.50365381819178,4.91739678936452,5.55189960089543,4.28289397783361,6.30414858265
456,1.81020341487386,1.87485353683364,2.00415378075321,1.61625304899452,15.4678749194333
457,3.00503246033932,3.00503246033932,3.11235504820859,3.64896798755489,9.31770300971667
458,7.66224253583654,8.14113269432633,8.62002285281611,6.94390729810187,4.17632303471667
459,5.6481652199601,4.2705639467991,5.2348848380118,3.8572835648508,7.25899445276667
460,6.93770870639879,4.6251391375992,4.6251391375992,4.29477205634211,6.05387193055
461,2.77509865920803,3.59735011378818,2.98066152285307,3.39178725014314,9.72938382223333
462,2.57328043316766,2.39581281708713,2.39581281708713,2.57328043316766,11.2696617229167
463,1.76503235089021,1.42341318620178,1.65115929599407,1.59422276854599,17.56341745485
464,2.67816800841615,3.54463412878608,3.07201624494793,2.75693765572251,12.6952453666667
465,8.29109687174807,5.46458657456123,9.98700305006017,6.21832265381105,5.30689734791667
466,2.75821884124497,2.24105280851154,2.32724714730045,2.75821884124497,11.60169001875
467,5.55788048681509,4.74054512110699,4.90401219424861,4.90401219424861,6.11743992708333
468,3.05642888645923,2.61979618839362,2.61979618839362,2.94727071194282,9.16101798541667
469,7.20087022721612,6.58365277916903,7.20087022721612,6.78939192851806,4.86052364445
470,7.84662382196205,3.0704180172895,3.41157557476611,3.29785638894057,8.79359092083333
