"","Rep","True_Beta","Mean_Beta","Lower95_Beta","Upper95_Beta"
"33122",480,0.104103406874202,0.0790185290116446,0.000755268253828063,0.178523006504336
"22660",338,0.170233044398506,0.32442869545824,0.251082426199551,0.402332352353232
"30887",448,0.266373577717548,0.240987082662903,0.144925022101101,0.342824019804791
"19710",295,0.14565235643564,0.112914177822754,0.0377963446009912,0.20989415843509
"45534",662,0.00675188780526934,0.0420129820986999,0.00229622171936337,0.097085236656372
"12506",185,0.339559509615155,0.328985099849069,0.198866234672269,0.502805471735814
"14357",213,0.360621687858948,0.286582001830939,0.196870639325007,0.409548378807358
"38519",568,0.313503068752103,0.318117787261915,0.22889086407215,0.451609124904754
"41776",615,0.290921950035606,0.228095788241225,0.106175715911962,0.364988228850048
"8386",131,0.279492781720343,0.283908180783169,0.109022235399286,0.38032373285103
"5744",95,0.333602861517934,0.302471152604946,0.201174488580578,0.40785096650691
"19259",289,0.0303408609187376,0.0755502146462286,0.00148575912794303,0.163048417938571
"4861",86,0.310071537261773,0.35459970333367,0.208804249734413,0.570096614116468
"30667",446,0.276006891454655,0.33400338051851,0.201238620034068,0.446449231212386
"5240",89,0.0311230454649592,0.0815067281067621,0.000581216300864555,0.175710385891251
"6059",100,0.0290861438630571,0.164440530448485,0.0938700556277599,0.275470222599799
"20746",311,0.240595871205818,0.37585184073018,0.302106789238988,0.445769160621334
"43751",640,0.32837670022925,0.297915148053092,0.172873328288613,0.412070143042432
"28348",412,0.0619572043894737,0.0755619716114295,0.000599589398173991,0.165634977831227
"40010",584,0.208659676465922,0.330768111295239,0.226809927400425,0.43836942514659
"33250",483,0.279662436817164,0.369745002393478,0.296330968960282,0.447179080882371
"23845",354,0.270818957232998,0.212283127280789,0.105349873047581,0.317921659979195
"24365",363,0.293142849224899,0.407562789886777,0.256723751801463,0.587731311698891
"21797",326,0.457515161432978,0.26049946731373,0.116012862612947,0.421138390379472
"4368",80,0.0777502954566922,0.0642669578578438,0.00326307885959091,0.142770117368506
"33981",496,0.031431156257568,0.092247497338741,0.0016114641847186,0.199949448729182
"32760",476,0.333516638125247,0.363122406032576,0.26924076657918,0.459811593013964
"41101",605,0.264564419587814,0.109107121089894,0.00105426616054211,0.220161125626046
"597",14,0.0359803381343206,0.070257527384384,0.000352777488702563,0.167554653043582
"43999",643,0.0122938248957975,0.0798999482934753,0.00359477278832722,0.157642164116326
"28942",421,0.0784486567374424,0.0616353580817676,0.000808673664571324,0.131248977361569
"37713",557,0.243343352866734,0.212736696885409,0.129101634323881,0.299406247449119
"21682",325,0.280370739614142,0.430286927033025,0.299531670662654,0.594920249556224
"23314",346,0.315223114603335,0.321423328085016,0.230307708942024,0.434992601600484
"6467",104,0.0769243515400124,0.0649328278126693,0.00216667160248619,0.116231176538748
"34610",510,0.0802962903616472,0.169680493551447,0.0538828388742326,0.297620526631083
"24628",365,0.101057521220769,0.0892744557133843,0.0147856173687906,0.169679583515674
"23419",347,0.275569685401362,0.120539576734236,0.000526508661979352,0.226401172770584
"7374",117,0.348962288761285,0.32195700347332,0.200933840218961,0.458297420155479
"16600",244,0.350160593399512,0.257007504252253,0.166390627313797,0.356085908272804
"209",5,0.43446744981978,0.380550555550104,0.22078992758812,0.572864626473215
"21737",325,0.00717626830754797,0.145668407175321,0.0647904144353139,0.249580264291456
"42608",626,0.367918572898001,0.391937635613924,0.289652639260162,0.489652778885938
"17538",263,0.35630716186158,0.44521746986598,0.309995025920861,0.595902882797375
"29628",431,0.0514326811278428,0.124847412533251,0.0149434463174004,0.242436439051627
"18171",270,0.182742409652328,0.0945595750333382,0.00055596573211345,0.190491477239625
"30497",443,0.0841633545181888,0.0685048992879836,0.00224260977444897,0.122489785544211
"35828",533,0.359677790584281,0.274085332496927,0.132901530856709,0.44088646754819
"43560",637,0.352932503988783,0.367185262140157,0.257400943926111,0.475452732410339
"26811",394,0.271772900017893,0.200294512038095,0.09757493250744,0.305439292094474
"47250",684,0.171317171153416,0.123191969949072,0.00769311415122261,0.255228806160634
"7777",122,0.330409632101812,0.341124633508738,0.274464309013479,0.42663832250489
"9939",152,0.241036750323208,0.20041680851918,0.1198272128389,0.296705872995295
"17954",268,0.290518804132798,0.315226781948014,0.222998788931533,0.422194799101597
"2916",57,0.0245250429945391,0.188248744589997,0.102127802579785,0.295149854581366
"8498",132,0.0119736238670503,0.0917002713494546,0.000120842572913134,0.197462197230009
"17105",254,0.245231779007459,0.382503520266607,0.263001943786413,0.517233691927881
"24774",367,0.205038856049634,0.4069851817384,0.328741978124252,0.500444065346215
"22172",333,0.26851805022061,0.338444449450316,0.194318810588202,0.522850978949602
"12180",180,0.0406546176548802,0.0710644299253272,0.00234742750805381,0.169692148562574
"29629",431,0.0509022514740462,0.120202296892932,0.00751337428855195,0.227023477434842
"44747",651,0.0353191335139498,0.104542768706032,0.0160050640750146,0.197645680639452
"7150",112,0.0527166471843608,0.0823730251289902,0.00188295510733502,0.172696139501366
"35109",516,0.153485605761613,0.144266948519862,0.0402036108618166,0.25859768194325
"33443",490,0.318231753156843,0.347726648426207,0.264223525721636,0.443970083961743
"29903",436,0.154051567433895,0.162849818657461,0.0505832031380574,0.267450952252555
"20336",305,0.359798087645334,0.334605220559806,0.221193752100587,0.489645686532665
"43576",637,0.190557038133936,0.198730135677319,0.107713752755181,0.300871744354762
"42920",630,0.041087499815131,0.0840507510407445,0.0051830072756374,0.150019951048788
"37016",550,0.302143710652185,0.341884764454268,0.27307891865606,0.445920353272711
"46680",677,0.132369495987344,0.0878965294698652,0.000124172422107847,0.17486422424653
"47074",681,0.130879263286232,0.10454492544678,0.0255071517132735,0.189251664139162
"31536",457,0.0888875605993103,0.145875326957546,0.0845574946733229,0.223507700434196
"20067",302,0.214050173188615,0.307005319875202,0.220322118428818,0.386932777266761
"43438",635,0.0710096903110258,0.0857269458439222,0.000839401691467893,0.18412999543265
"5895",97,0.0519687258925298,0.0579395976626742,0.000347195542336552,0.138581028674017
"7691",121,0.318740521663102,0.231495796156497,0.105777826928518,0.385149658420647
"21811",326,0.443845458202773,0.3921223945807,0.277418327815771,0.509266444927192
"18367",274,0.0185758563637797,0.0788893807938027,0.000293047501235215,0.184931602149849
"22369",335,0.292055830484304,0.293809911037311,0.190018082504857,0.413278425582692
"34598",510,0.205316012583939,0.342374015143401,0.238297085111591,0.480221578258237
"42827",629,0.299653206778202,0.248749191396403,0.132561358130386,0.356998091251635
"3524",71,0.359241079755356,0.485768543249825,0.246090292982347,0.711494047676934
"1022",26,0.440012807882236,0.590710113433528,0.405136272423004,0.797162888932138
"8217",129,0.157269210799611,0.105658539879223,0.0136469927572131,0.211668290736468
"8578",133,0.303469604584114,0.207475107422233,0.0825037305605635,0.328602062894336
"34648",510,0.0391889713696307,0.0942217785031587,0.000420558663117743,0.227559109447946
"16865",247,0.0485218159738723,0.061853744016854,0.000298981167303574,0.151642700030451
"24100",359,0.281329714270657,0.278249730956148,0.17852169004129,0.390481554617669
"17487",260,0.222784783945604,0.225829142093039,0.148582380028148,0.322708354307301
"44335",647,0.383966552258244,0.365618333268726,0.225737881893241,0.517202417655737
"14171",211,0.359917075868523,0.381349693857139,0.231092951713324,0.525651758260244
"30257",441,0.334538557853855,0.332357011219651,0.189647668439695,0.465184804754166
"39284",576,0.0678991557257891,0.0618593282588848,0.00107157515740365,0.14914240634774
"32208",468,0.148050717024283,0.248746050656309,0.155338589595179,0.353880333987129
"47305",686,0.342019688577581,0.329769249316479,0.204414803640751,0.452433357419271
"46359",673,0.283026973604663,0.411557582464801,0.330391080916749,0.492831709418798
"32495",471,0.0629210002708035,0.174563946682833,0.0943170556020029,0.259290507350076
"12423",184,0.355970281883763,0.367856901010419,0.191276840436439,0.564834524484029
"40767",599,0.367417603391656,0.427339944860575,0.324100546655762,0.569112457583083
"18142",270,0.278502457117724,0.204741473807806,0.101811741336249,0.312910154653963
"18731",280,0.0809445967736968,0.059809347577129,0.000139359208525559,0.128477235789773
"21228",317,0.25748765979567,0.245937406054269,0.087272929615432,0.395668935607974
"2318",50,0.231497742253452,0.261860262756794,0.182368084748686,0.379866217987729
"46282",671,0.222845251029702,0.313513810377979,0.224312299961305,0.395948317941884
"39257",576,0.0743020692277434,0.0688635847558973,5.15397720156526e-05,0.160165585366736
"10270",155,0.0708332562148227,0.0543833581985468,0.000442784629890274,0.14083158316296
"14878",222,0.309519386834577,0.363367615797841,0.239682267659396,0.489786497206942
"5703",94,0.00989433919343124,0.138392033495064,0.027335008241819,0.253437658672405
"28919",421,0.0909566843127902,0.074397522661602,0.00405963286997179,0.143835691675508
"10007",153,0.36655435837671,0.325354820690536,0.180632676026849,0.456504143174827
"11072",165,0.347186011267836,0.357865576220784,0.248828367440334,0.477029245657034
"29001",422,0.274488912127953,0.21946649283783,0.153688860599927,0.299357201192027
"29933",438,0.339570754119773,0.347964989182194,0.223647584908592,0.465471830695875
"26350",389,0.324966455683916,0.347239808868968,0.23176282898716,0.473371097336816
"42096",619,0.0579699352858768,0.0706568592369119,0.000431938830311781,0.165804644107854
"35433",522,0.199950972233204,0.151105133218163,0.0341418372220902,0.248874267866044
"15686",232,0.0454118570059278,0.0552686215214681,0.000150387392013698,0.135199971553323
"26640",392,0.329103820104293,0.370231426349498,0.196126951645356,0.535296445570402
"4550",82,0.0747422543961485,0.06651318706042,0.000159176526195251,0.167441438678573
"45232",658,0.065668496651033,0.0689074085855565,4.66107062039867e-05,0.169367135321629
"5363",91,0.332741822873525,0.357763251108836,0.279605154579605,0.440048888553683
"35718",528,0.111190289917181,0.0715067324282985,0.000492781101728637,0.172993829698838
"19380",291,0.349806911140078,0.323547349995055,0.21363495722331,0.443809744993067
