"","TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity","AvgLikelihood","VaryingParam"
"169",0.23,0.12,0.03,0.23,0.12,0.024,-537.8311,-541.0379,"Psi"
"170",0.23,0.12,0.03,0.23,0.12,0.0249,-537.3888,-540.3289,"Psi"
"171",0.23,0.12,0.03,0.23,0.12,0.0259,-537.0103,-539.7153,"Psi"
"172",0.23,0.12,0.03,0.23,0.12,0.0268,-536.6903,-539.2117,"Psi"
"173",0.23,0.12,0.03,0.23,0.12,0.0277,-536.4242,-538.6694,"Psi"
"174",0.23,0.12,0.03,0.23,0.12,0.0286,-536.2078,-538.3093,"Psi"
"175",0.23,0.12,0.03,0.23,0.12,0.0295,-536.0375,-537.9882,"Psi"
"176",0.23,0.12,0.03,0.23,0.12,0.0305,-535.9099,-537.6236,"Psi"
"177",0.23,0.12,0.03,0.23,0.12,0.0314,-535.822,-537.3834,"Psi"
"178",0.23,0.12,0.03,0.23,0.12,0.0323,-535.7711,-537.1788,"Psi"
"179",0.23,0.12,0.03,0.23,0.12,0.0332,-535.7548,-536.9506,"Psi"
"180",0.23,0.12,0.03,0.23,0.12,0.0341,-535.7707,-536.8248,"Psi"
"181",0.23,0.12,0.03,0.23,0.12,0.0351,-535.8169,-536.7207,"Psi"
"182",0.23,0.12,0.03,0.23,0.12,0.036,-535.8915,-536.5884,"Psi"
"183",0.23,0.12,0.03,0.23,0.12,0.0369,-535.9928,-536.621,"Psi"
"184",0.23,0.12,0.03,0.23,0.12,0.0378,-536.1192,-536.5578,"Psi"
"185",0.23,0.12,0.03,0.23,0.12,0.0387,-536.2692,-536.6374,"Psi"
"186",0.23,0.12,0.03,0.23,0.12,0.0396,-536.4415,-536.6897,"Psi"
"187",0.23,0.12,0.03,0.23,0.12,0.0406,-536.6349,-536.7066,"Psi"
"188",0.23,0.12,0.03,0.23,0.12,0.0415,-536.8482,-536.748,"Psi"
"189",0.23,0.12,0.03,0.23,0.12,0.0424,-537.0805,-536.8135,"Psi"
"190",0.23,0.12,0.03,0.23,0.12,0.0433,-537.3306,-537.0091,"Psi"
"191",0.23,0.12,0.03,0.23,0.12,0.0442,-537.5977,-537.1625,"Psi"
"192",0.23,0.12,0.03,0.23,0.12,0.0452,-537.881,-537.3433,"Psi"
"193",0.23,0.12,0.03,0.23,0.12,0.0461,-538.1797,-537.5136,"Psi"
"194",0.23,0.12,0.03,0.23,0.12,0.047,-538.4929,-537.7039,"Psi"
"195",0.23,0.12,0.03,0.23,0.12,0.0479,-538.8201,-537.9773,"Psi"
"196",0.23,0.12,0.03,0.23,0.12,0.0488,-539.1605,-538.2204,"Psi"
"197",0.23,0.12,0.03,0.23,0.12,0.0497,-539.5136,-538.4639,"Psi"
"198",0.23,0.12,0.03,0.23,0.12,0.0507,-539.8789,-538.6997,"Psi"
"199",0.23,0.12,0.03,0.23,0.12,0.0516,-540.2556,-538.9691,"Psi"
"200",0.23,0.12,0.03,0.23,0.12,0.0525,-540.6435,-539.2987,"Psi"
"201",0.23,0.12,0.03,0.23,0.03,0.03,-548.3785,-548.3291,"Gamma"
"202",0.23,0.12,0.03,0.23,0.0337,0.03,-547.3401,-547.6258,"Gamma"
"203",0.23,0.12,0.03,0.23,0.0373,0.03,-546.3428,-546.8019,"Gamma"
"204",0.23,0.12,0.03,0.23,0.041,0.03,-545.3872,-546.1183,"Gamma"
"205",0.23,0.12,0.03,0.23,0.0447,0.03,-544.4739,-545.3205,"Gamma"
"206",0.23,0.12,0.03,0.23,0.0484,0.03,-543.6033,-544.6336,"Gamma"
"207",0.23,0.12,0.03,0.23,0.052,0.03,-542.7762,-544.0764,"Gamma"
"208",0.23,0.12,0.03,0.23,0.0557,0.03,-541.993,-543.5298,"Gamma"
"209",0.23,0.12,0.03,0.23,0.0594,0.03,-541.2544,-543.0168,"Gamma"
"210",0.23,0.12,0.03,0.23,0.0631,0.03,-540.5609,-542.5662,"Gamma"
"211",0.23,0.12,0.03,0.23,0.0667,0.03,-539.9131,-542.1966,"Gamma"
"212",0.23,0.12,0.03,0.23,0.0704,0.03,-539.3115,-541.7726,"Gamma"
"213",0.23,0.12,0.03,0.23,0.0741,0.03,-538.7567,-541.4687,"Gamma"
"214",0.23,0.12,0.03,0.23,0.0778,0.03,-538.2492,-541.345,"Gamma"
"215",0.23,0.12,0.03,0.23,0.0814,0.03,-537.7896,-541.0989,"Gamma"
"216",0.23,0.12,0.03,0.23,0.0851,0.03,-537.3782,-540.9741,"Gamma"
"217",0.23,0.12,0.03,0.23,0.0888,0.03,-537.0157,-540.8578,"Gamma"
"218",0.23,0.12,0.03,0.23,0.0924,0.03,-536.7025,-540.7354,"Gamma"
"219",0.23,0.12,0.03,0.23,0.0961,0.03,-536.4391,-540.7159,"Gamma"
"220",0.23,0.12,0.03,0.23,0.0998,0.03,-536.2259,-540.796,"Gamma"
"221",0.23,0.12,0.03,0.23,0.1035,0.03,-536.0633,-540.9502,"Gamma"
"222",0.23,0.12,0.03,0.23,0.1071,0.03,-535.9518,-541.1715,"Gamma"
"223",0.23,0.12,0.03,0.23,0.1108,0.03,-535.8916,-541.3793,"Gamma"
"224",0.23,0.12,0.03,0.23,0.1145,0.03,-535.8833,-541.6658,"Gamma"
"225",0.23,0.12,0.03,0.23,0.1182,0.03,-535.927,-542.3469,"Gamma"
"226",0.23,0.12,0.03,0.23,0.1218,0.03,-536.0231,-543.5359,"Gamma"
"227",0.23,0.12,0.03,0.23,0.1255,0.03,-536.1719,-544.9391,"Gamma"
"228",0.23,0.12,0.03,0.23,0.1292,0.03,-536.3736,-546.8447,"Gamma"
"229",0.23,0.12,0.03,0.23,0.1329,0.03,-536.6285,-548.3764,"Gamma"
"230",0.23,0.12,0.03,0.23,0.1365,0.03,-536.9366,-552.2502,"Gamma"
"231",0.23,0.12,0.03,0.23,0.1402,0.03,-537.2981,-555.937,"Gamma"
"232",0.23,0.12,0.03,0.23,0.1439,0.03,-537.7132,-559.3412,"Gamma"
"233",0.23,0.12,0.03,0.23,0.1476,0.03,-538.1819,-566.2612,"Gamma"
"234",0.23,0.12,0.03,0.23,0.1512,0.03,-538.7042,-565.2601,"Gamma"
"235",0.23,0.12,0.03,0.23,0.1549,0.03,-539.2802,-572.1712,"Gamma"
"236",0.23,0.12,0.03,0.23,0.1586,0.03,-539.9097,-584.9506,"Gamma"
"237",0.23,0.12,0.03,0.23,0.1622,0.03,-540.5928,-593.5144,"Gamma"
"238",0.23,0.12,0.03,0.23,0.1659,0.03,-541.3292,-603.3806,"Gamma"
"239",0.23,0.12,0.03,0.23,0.1696,0.03,-542.1189,-606.38,"Gamma"
"240",0.23,0.12,0.03,0.23,0.1733,0.03,-542.9616,-611.5819,"Gamma"
"241",0.23,0.12,0.03,0.23,0.1769,0.03,-543.857,-619.7727,"Gamma"
"242",0.23,0.12,0.03,0.23,0.1806,0.03,-544.805,-625.6037,"Gamma"
"243",0.23,0.12,0.03,0.23,0.1843,0.03,-545.8051,-630.24,"Gamma"
"244",0.23,0.12,0.03,0.23,0.188,0.03,-546.857,-633.0674,"Gamma"
"245",0.23,0.12,0.03,0.23,0.1916,0.03,-547.9604,-636.3694,"Gamma"
"246",0.23,0.12,0.03,0.23,0.1953,0.03,-549.1147,-642.1867,"Gamma"
"247",0.23,0.12,0.03,0.23,0.199,0.03,-550.3195,-647.1043,"Gamma"
"248",0.23,0.12,0.03,0.23,0.2027,0.03,-551.5744,-652.9989,"Gamma"
"249",0.23,0.12,0.03,0.23,0.2063,0.03,-552.8787,-657.1578,"Gamma"
"250",0.23,0.12,0.03,0.23,0.21,0.03,-554.2319,-660.9669,"Gamma"
"251",0.23,0.12,0.03,0.0575,0.12,0.03,-677.14,-748.5982,"Beta"
"252",0.23,0.12,0.03,0.0645,0.12,0.03,-662.6514,-736.9135,"Beta"
"253",0.23,0.12,0.03,0.0716,0.12,0.03,-649.5672,-726.0393,"Beta"
"254",0.23,0.12,0.03,0.0786,0.12,0.03,-637.6731,-715.8624,"Beta"
"255",0.23,0.12,0.03,0.0857,0.12,0.03,-626.812,-706.2243,"Beta"
"256",0.23,0.12,0.03,0.0927,0.12,0.03,-616.865,-696.4174,"Beta"
"257",0.23,0.12,0.03,0.0997,0.12,0.03,-607.7402,-687.1168,"Beta"
"258",0.23,0.12,0.03,0.1068,0.12,0.03,-599.3645,-678.743,"Beta"
"259",0.23,0.12,0.03,0.1138,0.12,0.03,-591.6792,-669.8541,"Beta"
"260",0.23,0.12,0.03,0.1209,0.12,0.03,-584.6354,-662.171,"Beta"
"261",0.23,0.12,0.03,0.1279,0.12,0.03,-578.1918,-653.6718,"Beta"
"262",0.23,0.12,0.03,0.1349,0.12,0.03,-572.3132,-644.7418,"Beta"
"263",0.23,0.12,0.03,0.142,0.12,0.03,-566.9684,-635.4699,"Beta"
"264",0.23,0.12,0.03,0.149,0.12,0.03,-562.1295,-626.4305,"Beta"
"265",0.23,0.12,0.03,0.1561,0.12,0.03,-557.7713,-615.4976,"Beta"
"266",0.23,0.12,0.03,0.1631,0.12,0.03,-553.8708,-602.8522,"Beta"
"267",0.23,0.12,0.03,0.1702,0.12,0.03,-550.4063,-589.0126,"Beta"
"268",0.23,0.12,0.03,0.1772,0.12,0.03,-547.3577,-580.4045,"Beta"
"269",0.23,0.12,0.03,0.1842,0.12,0.03,-544.7058,-574.2742,"Beta"
"270",0.23,0.12,0.03,0.1913,0.12,0.03,-542.4326,-570.1914,"Beta"
"271",0.23,0.12,0.03,0.1983,0.12,0.03,-540.521,-568.0316,"Beta"
"272",0.23,0.12,0.03,0.2054,0.12,0.03,-538.9543,-567.0098,"Beta"
"273",0.23,0.12,0.03,0.2124,0.12,0.03,-537.7171,-566.5515,"Beta"
"274",0.23,0.12,0.03,0.2194,0.12,0.03,-536.7943,-566.7184,"Beta"
"275",0.23,0.12,0.03,0.2265,0.12,0.03,-536.1716,-567.1556,"Beta"
"276",0.23,0.12,0.03,0.2335,0.12,0.03,-535.8353,-567.904,"Beta"
"277",0.23,0.12,0.03,0.2406,0.12,0.03,-535.7724,-568.9811,"Beta"
"278",0.23,0.12,0.03,0.2476,0.12,0.03,-535.9705,-570.2635,"Beta"
"279",0.23,0.12,0.03,0.2546,0.12,0.03,-536.4175,-571.9717,"Beta"
"280",0.23,0.12,0.03,0.2617,0.12,0.03,-537.1023,-573.8046,"Beta"
"281",0.23,0.12,0.03,0.2687,0.12,0.03,-538.014,-575.8989,"Beta"
"282",0.23,0.12,0.03,0.2758,0.12,0.03,-539.1424,-578.377,"Beta"
"283",0.23,0.12,0.03,0.2828,0.12,0.03,-540.4777,-581.2601,"Beta"
"284",0.23,0.12,0.03,0.2898,0.12,0.03,-542.0108,-584.4967,"Beta"
"285",0.23,0.12,0.03,0.2969,0.12,0.03,-543.7327,-588.4884,"Beta"
"286",0.23,0.12,0.03,0.3039,0.12,0.03,-545.6351,-594.0552,"Beta"
"287",0.23,0.12,0.03,0.311,0.12,0.03,-547.7101,-600.8751,"Beta"
"288",0.23,0.12,0.03,0.318,0.12,0.03,-549.9502,-611.137,"Beta"
"289",0.23,0.12,0.03,0.3251,0.12,0.03,-552.3481,-628.8432,"Beta"
"290",0.23,0.12,0.03,0.3321,0.12,0.03,-554.8972,-662.7456,"Beta"
"291",0.23,0.12,0.03,0.3391,0.12,0.03,-557.5909,-720.1084,"Beta"
"292",0.23,0.12,0.03,0.3462,0.12,0.03,-560.4232,-822.5498,"Beta"
"293",0.23,0.12,0.03,0.3532,0.12,0.03,-563.3882,-1001.786,"Beta"
"294",0.23,0.12,0.03,0.3603,0.12,0.03,-566.4803,-1244.3674,"Beta"
"295",0.23,0.12,0.03,0.3673,0.12,0.03,-569.6945,-1641.1889,"Beta"
"296",0.23,0.12,0.03,0.3743,0.12,0.03,-573.0256,-2507.8457,"Beta"
