"Rep","TruePeak","Cases","TreeSize","TrueGamma","TruePhi","TruePsi","GammaMean","PhiMean","PsiMean","RunTime"
401,2391,2671,117,0.107610937,0.048056087,0.002096414,0.160864942430095,0.0491899058033173,0.0020901409737843,8.80495622986667
402,1052,1068,45,0.17011989,0.030774517,0.001303543,0.177715361696506,0.0369060694098759,0.00151684116994943,5.92612181041667
403,43,98,6,0.278428498,0.049379259,0.003192501,0.161386264611845,0.0359617761487838,0.0019139897097783,4.25703204791667
404,1295,1635,89,0.14791526,0.042861779,0.002329803,0.184205142154827,0.0402663901658192,0.00212822078948432,7.70973918681667
405,2719,2334,124,0.093278703,0.032200193,0.001712133,0.177546659997362,0.0416765912901019,0.00226665032752422,8.9490801125
406,1637,1300,67,0.148923191,0.029754634,0.001538946,0.150219539892355,0.0380490768739195,0.00204937731863032,6.54470035971667
407,577,1132,76,0.190732634,0.050568708,0.00336993,0.212442042427157,0.0464973200335124,0.00283398102940513,7.18765145486667
409,3030,3538,189,0.074148285,0.044633889,0.002380297,0.158365483863862,0.0434999684475597,0.00223717003290817,11.6047392152833
410,3434,3477,162,0.061883728,0.033935083,0.0015835,0.177183152740419,0.0367267948262627,0.00174625171124404,11.6728806222167
412,1909,1828,146,0.135516567,0.038567762,0.003079194,0.169180320839632,0.0344728173128754,0.00262949569425299,10.58941620555
413,3176,3393,333,0.068610606,0.038786539,0.003802292,0.164387153523504,0.034924776610819,0.00326866651617115,18.27481940485
414,1071,1731,100,0.156367866,0.052583811,0.003041924,0.254197401043284,0.0444241620131852,0.00238450621833297,6.97128596596667
415,2164,1176,40,0.122603234,0.018360334,0.00061616,0.126780455300927,0.0386513825541935,0.00148761561920345,4.92497688193333
418,2717,2192,43,0.089444554,0.028508647,0.000562036,0.154712684590938,0.0343125034578587,0.000794447908611085,6.14360228055
419,1438,1475,93,0.142531925,0.032833762,0.002062377,0.193363959613071,0.0395302146043131,0.00245545838242233,7.6739807618
421,1444,1291,88,0.145857973,0.029162454,0.001979462,0.150476925966153,0.0369798327237912,0.0023281758364886,7.38388879305
422,613,845,53,0.195202034,0.038530423,0.002424404,0.165459557134838,0.041776686214238,0.00261733485597993,5.83113793888333
424,2301,765,44,0.131676816,0.012665045,0.00072174,0.13847706803333,0.0260703327521469,0.00171891775883274,5.43012612013333
425,1265,1291,64,0.174245074,0.037745563,0.00187724,0.171509037059716,0.0464053517600764,0.00228085131672054,6.16357715346667
427,4197,3555,135,0.057271245,0.032306768,0.001225948,0.148395522956638,0.0286313814866797,0.0010811149526223,9.79647868263333
428,158,336,20,0.260859047,0.051613613,0.003042916,0.242922408289782,0.0401977183318792,0.00226192959961791,4.46644935833333
430,838,1291,80,0.170543159,0.04032343,0.002500557,0.184075036239696,0.0402765756990997,0.00248272401832328,6.83964195973333
431,1995,2020,92,0.107048862,0.033640501,0.001523345,0.210860341522446,0.0336861173080158,0.00149560660833877,7.59300561111667
434,1722,2167,37,0.114632297,0.04329295,0.000736033,0.17890293938476,0.0411447682221844,0.000704060874274921,5.6360321389
435,1265,1158,52,0.176361889,0.032527111,0.001465098,0.157237078951449,0.0351904250722973,0.00166576278184975,5.70880063541667
436,732,1446,90,0.167822799,0.056591937,0.003536392,0.217937672838977,0.046212842284763,0.0027794700366464,7.09221037291667
438,1579,1739,61,0.131310389,0.036419771,0.001280313,0.140405933984675,0.037285246898608,0.00136463957085886,5.97577605346667
439,1458,1281,40,0.133204395,0.028457227,0.000881634,0.143130721931262,0.0384389049779321,0.00134758408075052,5.17517015208333
440,551,1159,47,0.186214052,0.057388147,0.002317014,0.228252183410635,0.0508301829699351,0.00211502189746553,5.49776672153333
441,606,1058,17,0.17538914,0.048916982,0.000803151,0.27545799572587,0.0480924124551294,0.00118197271562118,4.05065045278333
442,1203,1792,95,0.126419753,0.0438762,0.002325372,0.20022348487737,0.0405109085277112,0.00213563836529521,7.19285451805
443,1339,1763,144,0.135682028,0.040848581,0.003345372,0.160582614638658,0.0380587850242081,0.00292338052488147,8.81762534026667
445,1080,1189,128,0.165603534,0.037370341,0.004010867,0.222533352230988,0.0300847710808923,0.00303239083803874,8.33972310763333
446,988,1148,56,0.162619427,0.035454226,0.001731958,0.223202981021537,0.043479137087471,0.00212462613559015,5.88634967638333
447,1420,1667,99,0.134676124,0.039049416,0.002320325,0.15009846945103,0.0375188821331612,0.00224701924308874,7.45918834306667
448,384,469,23,0.24190428,0.035241325,0.001730743,0.211022445865729,0.0431998089257735,0.00234252723825825,4.63774015556667
449,1469,1310,66,0.143968782,0.028886177,0.001457353,0.166626860225148,0.0359661370913866,0.00170690175576256,6.33725817221667
450,531,905,38,0.196293964,0.045678728,0.00190346,0.226570547073914,0.0486310038082647,0.00221218044325469,5.13785192015
451,783,717,24,0.183738896,0.025768621,0.000869934,0.187461445955905,0.0375062795534563,0.00127367138552575,4.99561401945
453,1007,1351,29,0.168389036,0.042512785,0.000909163,0.202120686248033,0.0442204429479773,0.00108557784835574,4.63013017986667
454,793,1006,28,0.178134278,0.034447116,0.000957686,0.214137197587278,0.0502298064830085,0.00179495763728093,4.45491180765
455,2206,1780,62,0.128698947,0.032309595,0.001117005,0.15102693786378,0.0438058259630995,0.0017594951342842,6.30414858265
457,2087,2312,150,0.1037952,0.039843275,0.002591025,0.15279831222574,0.0355291779493084,0.00230900463695956,9.31770300971667
459,1800,2115,85,0.11105363,0.039490988,0.001579635,0.139995979126333,0.0364695522054374,0.00151443638835649,7.25899445276667
460,1901,1045,55,0.149300644,0.021995316,0.001165578,0.164656976822061,0.0326486828709987,0.00193110581846019,6.05387193055
464,2063,3569,207,0.091951604,0.064911679,0.003757026,0.252423017834911,0.0496611185140383,0.00278733883845969,12.6952453666667
465,782,937,29,0.189314585,0.036643403,0.001113994,0.221403923493948,0.0452013646314595,0.00160398151990241,5.30689734791667
